Metric,Value
Test Loss,0.07686506242789327
Accuracy,0.97415
Precision (Macro),0.9741826664438913
Recall (Macro),0.97415
F1 Score (Macro),0.9741495547907074
Precision (Weighted),0.9741826664438913
Recall (Weighted),0.97415
F1 Score (Weighted),0.9741495547907074
Macro F1 Score,0.9741495547907074
Balanced Accuracy,0.97415
ROC-AUC,0.996406915
PR-AUC,0.9966482309245115
Sensitivity / Recall,0.97
Specificity,0.9783
Matthews Correlation Coefficient,0.9483326658812742
Cohen's Kappa,0.9483
Average Confidence,0.9779979586601257
Inference Time (seconds),18.31940531730652
Inference Speed (images/sec),1091.7384955234222
