Metric,Value
Test Loss,0.05485054043019627
Accuracy,0.98325
Precision (Macro),0.9832500434925039
Recall (Macro),0.98325
F1 Score (Macro),0.983249999623125
Precision (Weighted),0.9832500434925039
Recall (Weighted),0.98325
F1 Score (Weighted),0.9832499996231251
Macro F1 Score,0.983249999623125
Balanced Accuracy,0.98325
ROC-AUC,0.9987416500000001
PR-AUC,0.9987791652320098
Sensitivity / Recall,0.9834
Specificity,0.9831
Matthews Correlation Coefficient,0.966500043492503
Cohen's Kappa,0.9665
Average Confidence,0.9927816390991211
Inference Time (seconds),21.825045347213745
Inference Speed (images/sec),916.3783938049532
